# Updated at 2025-04-02T04:55:55.771803
Title|Link|Discounted Price|Original Price|Discount
Alvina-chan Wet Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-172322|8,360 JPY|8,800 JPY|5.0%
Attack on Titan The Final Season Levi Birthday 1/7 Scale Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-134970|12,485 JPY|24,970 JPY|50.0%
No Game No Life Shiro -Alice in Wonderland Ver.- 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-129216|22,946 JPY|32,780 JPY|30.0%
[AmiAmi Exclusive Bonus] PRISMA WING Flower Imitation. Flower. Illustration by neco 1/7 Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-161654|28,600 JPY|31,790 JPY|10.03%
[Exclusive Sale] [Bonus] That Time I Got Reincarnated as a Slime [Gyoso] Rimuru Tempest 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-155133|23,760 JPY|29,700 JPY|20.0%
Illustrator Original Saotome Shino Nurse Ver. by Minori Chigusa 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-177753|20,690 JPY|21,780 JPY|5.0%
Umamusume Pretty Derby Agnes Tachyon 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-173581|21,940 JPY|23,100 JPY|5.02%
Re:ZERO -Starting Life in Another World- Echidna -Hanfu- 1/7 Scale Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-147022|20,790 JPY|29,700 JPY|30.0%
Delicious in Dungeon Marcille Donato -Adding Color to the Dungeon- 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-163927|28,510 JPY|28,800 JPY|1.01%
Re:ZERO -Starting Life in Another World- Echidna Wedding Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-144790|13,980 JPY|22,800 JPY|38.68%
Girls' Frontline PA-15 Marvellous Herb Cake Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-134769|9,980 JPY|20,350 JPY|50.96%
Guilty & Punish Guilty illustration by Annoa-no 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-169035|27,720 JPY|30,800 JPY|10.0%
Mushoku Tensei: Jobless Reincarnation Season 2 - Sylphiette lingerie Ver. 1/7 Scale Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-173087|20,900 JPY|22,000 JPY|5.0%
Re:ZERO -Starting Life in Another World- Emilia Wedding Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-144791|12,870 JPY|19,800 JPY|35.0%
[Bonus] Ideal Girlfriend Housemaid Annilia 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-156888|10,780 JPY|15,400 JPY|30.0%
"InuYasha" "Kagome Higurashi" 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-173207|31,180 JPY|34,650 JPY|10.01%
Azur Lane Atago & Takao Race Queen Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-147768|32,380 JPY|40,480 JPY|20.01%
[Exclusive Sale] "FAIRY TAIL" Erza Scarlet Ataraxia Armor Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-170243|29,700 JPY|33,000 JPY|10.0%
[Exclusive Sale] V ayamy Cat Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-172144|9,000 JPY|9,680 JPY|7.02%
KDcolle Classroom of the Elite Kei Karuizawa 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-146037|7,425 JPY|24,750 JPY|70.0%
Evangelion (RADIO EVA) Rei Ayanami Ver. RADIO EVA Part.2 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-138462|12,000 JPY|20,350 JPY|41.03%
KDcolle Alya Sometimes Hides Her Feelings in Russian Alisa Mikhailovna Kujou:vacation swimsuit ver. 1/7 Scale Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-179416|20,790 JPY|23,100 JPY|10.0%
[Exclusive Sale] Character Vocal Series 01 Hatsune Miku Virtual Popstar Ver. 1/7 Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-141385|25,980 JPY|45,000 JPY|42.27%
Azur Lane Chen Hai 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-164273|14,500 JPY|22,000 JPY|34.09%
Blue Archive Karin Kakudate (Bunny Girl) Game Playing Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-164274|19,800 JPY|22,000 JPY|10.0%
Azur Lane Azuma Soft Voice of Spring Ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-145753|19,000 JPY|31,680 JPY|40.03%
G.A.D_Ten 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-139971|5,520 JPY|13,800 JPY|60.0%
Azur Lane Littorio Calabria Aurea 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-154450|19,800 JPY|30,800 JPY|35.71%
KDcolle OVERLORD - Albedo Splendid Kimono ver. 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-175488|31,180 JPY|34,650 JPY|10.01%
KDcolle The Eminence in Shadow Beta : Light Novel 1/7 Complete Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-161115|18,560 JPY|24,750 JPY|25.01%
Re:ZERO -Starting Life in Another World- Rem Jewel Princess 1/7 Scale Figure|https://www.amiami.com/eng/detail/?gcode=FIGURE-176400|3,980 JPY|4,290 JPY|7.23%
